{'loss': 1.201, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.0169, 'learning_rate': 0.00010333333333333334, 'epoch': 2.43}
{'loss': 0.0274, 'learning_rate': 0.00010266666666666666, 'epoch': 2.45}
{'loss': 0.0285, 'learning_rate': 0.00010200000000000001, 'epoch': 2.46}
{'loss': 0.0261, 'learning_rate': 0.00010133333333333335, 'epoch': 2.48}
{'loss': 0.0156, 'learning_rate': 0.00010066666666666667, 'epoch': 2.49}
{'loss': 0.0252, 'learning_rate': 0.0001, 'epoch': 2.51}
{'loss': 0.0217, 'learning_rate': 9.933333333333334e-05, 'epoch': 2.53}
{'loss': 0.0274, 'learning_rate': 9.866666666666668e-05, 'epoch': 2.54}
{'loss': 0.0226, 'learning_rate': 9.8e-05, 'epoch': 2.56}
{'loss': 0.0224, 'learning_rate': 9.733333333333335e-05, 'epoch': 2.57}
{'loss': 0.0253, 'learning_rate': 9.666666666666667e-05, 'epoch': 2.59}
{'loss': 0.0367, 'learning_rate': 9.6e-05, 'epoch': 2.61}
{'loss': 0.0191, 'learning_rate': 9.533333333333334e-05, 'epoch': 2.62}
{'loss': 0.0329, 'learning_rate': 9.466666666666667e-05, 'epoch': 2.64}
{'loss': 0.0298, 'learning_rate': 9.4e-05, 'epoch': 2.66}
{'loss': 0.0134, 'learning_rate': 9.333333333333334e-05, 'epoch': 2.67}
{'loss': 0.0263, 'learning_rate': 9.266666666666666e-05, 'epoch': 2.69}
{'loss': 0.0309, 'learning_rate': 9.200000000000001e-05, 'epoch': 2.7}
{'loss': 0.0133, 'learning_rate': 9.133333333333334e-05, 'epoch': 2.72}
{'loss': 0.0278, 'learning_rate': 9.066666666666667e-05, 'epoch': 2.74}
{'loss': 0.0273, 'learning_rate': 9e-05, 'epoch': 2.75}
{'loss': 0.0156, 'learning_rate': 8.933333333333334e-05, 'epoch': 2.77}
{'loss': 0.0225, 'learning_rate': 8.866666666666668e-05, 'epoch': 2.79}
{'loss': 0.0211, 'learning_rate': 8.800000000000001e-05, 'epoch': 2.8}
{'loss': 0.0234, 'learning_rate': 8.733333333333333e-05, 'epoch': 2.82}
{'loss': 0.0194, 'learning_rate': 8.666666666666667e-05, 'epoch': 2.83}
{'loss': 0.0251, 'learning_rate': 8.6e-05, 'epoch': 2.85}
